date,modal_price,min_price,max_price,markets_reporting,varieties_reporting,rows_reporting,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2022-01-03,2500.0,2050.0,2500.0,4,1,4,25.0,20.4,29.6,0.0,73.0,8.6,1015.2,0,0.0,0,1,1,0,Neutral
2022-01-04,2333.33,1733.33,2333.33,3,1,3,23.9,20.0,30.1,0.0,74.0,10.1,1015.2,0,0.0,0,1,1,0,Neutral
2022-01-05,2400.0,2050.0,2400.0,4,1,4,24.3,18.4,29.2,0.0,46.0,5.3,1015.4,0,0.0,0,1,1,0,Neutral
2022-01-06,2433.33,2033.33,2433.33,3,1,3,24.2,20.0,29.8,0.0,77.0,8.1,1014.5,0,0.0,0,1,1,0,Neutral
2022-01-07,2275.0,1775.0,2275.0,4,1,4,25.2,22.0,30.0,0.0,55.0,8.4,1014.4,0,0.0,0,1,1,0,Neutral
2022-01-10,2360.0,1840.0,2360.0,5,1,5,25.3,21.0,30.4,0.0,53.0,7.6,1013.8,0,0.0,0,1,1,0,Neutral
2022-01-11,2480.0,2040.0,2480.0,5,1,5,25.8,22.0,31.0,0.0,46.0,4.2,1013.6,0,0.0,0,1,1,0,Neutral
2022-01-12,2425.0,2025.0,2425.0,4,1,4,26.5,23.0,33.0,0.0,71.0,5.4,1012.9,0,0.0,0,1,1,0,Neutral
2022-01-13,2366.67,1966.67,2366.67,3,1,3,26.2,20.6,33.0,0.0,219.0,6.6,1012.3,0,0.0,0,1,1,0,Neutral
2022-01-14,2400.0,1900.0,2400.0,4,1,4,26.2,20.2,33.2,0.0,304.0,5.8,1012.3,0,0.0,0,1,1,0,Neutral
2022-01-17,2425.0,1925.0,2425.0,4,1,4,25.8,22.0,31.0,0.0,66.0,11.8,1015.8,0,0.0,0,1,1,0,Neutral
2022-01-18,2533.33,2266.67,2533.33,3,1,3,25.2,19.6,31.0,0.4,48.0,9.3,1015.4,0,0.0,0,1,1,0,Neutral
2022-01-19,2460.0,1940.0,2460.0,5,1,5,25.0,21.0,31.0,0.0,50.0,8.2,1014.1,0,0.0,0,1,1,0,Neutral
2022-01-20,2433.33,1966.67,2433.33,3,1,3,25.7,20.6,32.0,0.0,61.0,5.8,1012.5,0,0.0,0,1,1,0,Neutral
2022-01-21,2375.0,2075.0,2375.0,4,1,4,26.1,19.5,32.6,0.0,32.0,8.2,1012.6,0,0.0,0,1,1,0,Neutral
2022-01-24,2425.0,1975.0,2425.0,4,1,4,25.2,19.0,32.6,0.0,218.0,8.4,1010.3,0,0.0,0,1,1,0,Neutral
2022-01-25,2400.0,2040.0,2400.0,5,1,5,25.2,18.4,32.6,0.0,208.0,8.9,1010.4,0,0.0,0,1,1,0,Neutral
2022-01-26,2433.33,1966.67,2433.33,3,1,3,25.2,20.0,31.0,0.0,97.0,6.7,1011.2,0,0.0,0,1,1,0,Neutral
2022-01-27,2480.0,2160.0,2480.0,5,1,5,25.8,20.4,31.8,0.0,76.0,9.2,1011.2,0,0.0,0,1,1,0,Neutral
2022-01-28,2425.0,1925.0,2425.0,4,1,4,25.2,21.8,30.6,1.7,60.0,14.5,1012.9,0,0.0,0,1,1,0,Neutral
2022-01-31,2500.0,2060.0,2500.0,5,1,5,26.8,23.0,32.0,0.1,48.0,7.0,1012.3,0,0.0,0,1,1,0,Neutral
2022-02-01,2525.0,2125.0,2525.0,4,1,4,26.5,21.7,33.1,0.1,74.0,9.4,1011.9,0,0.0,0,1,1,1,Upward
2022-02-02,2450.0,2200.0,2450.0,4,1,4,26.8,20.4,32.0,0.0,65.0,8.0,1012.5,0,0.0,0,1,1,1,Upward
2022-02-03,2433.33,2166.67,2433.33,3,1,3,26.6,21.0,33.0,0.0,84.0,7.5,1012.5,0,0.0,0,1,1,1,Upward
2022-02-04,2575.0,2275.0,2575.0,4,1,4,26.0,19.4,33.5,0.0,228.0,9.1,1010.8,0,0.0,0,1,1,1,Upward
2022-02-07,2566.67,2033.33,2566.67,3,1,3,27.0,22.0,32.8,0.1,81.0,9.2,1014.3,0,0.0,0,1,1,1,Upward
2022-02-08,2450.0,2100.0,2450.0,4,1,4,26.1,22.0,33.0,0.0,65.0,6.3,1013.4,0,0.0,0,1,1,1,Upward
2022-02-09,2625.0,2225.0,2625.0,4,1,4,26.2,20.0,32.0,0.0,65.0,9.6,1013.1,0,0.0,0,1,1,1,Upward
2022-02-10,2600.0,2200.0,2600.0,3,1,3,25.3,19.6,32.0,0.0,66.0,9.0,1012.8,0,0.0,0,1,1,1,Upward
2022-02-11,2566.67,2166.67,2566.67,3,1,3,26.3,20.0,31.4,0.0,61.0,11.7,1012.3,0,0.0,0,1,1,1,Upward
2022-02-14,2550.0,2350.0,2550.0,4,1,4,25.9,20.4,31.6,0.0,48.0,9.4,1011.3,0,0.0,0,1,1,1,Upward
2022-02-15,2650.0,2350.0,2650.0,4,1,4,26.2,22.0,32.0,0.0,76.0,10.3,1011.5,0,0.0,0,1,1,1,Upward
2022-02-16,2500.0,2000.0,2500.0,4,1,4,26.7,20.4,35.7,0.0,65.0,8.4,1009.6,0,0.0,0,1,1,1,Upward
2022-02-17,2550.0,2000.0,2550.0,4,1,4,27.0,20.2,32.6,0.2,64.0,9.8,1008.6,0,0.0,0,1,1,1,Upward
2022-02-18,2600.0,2333.33,2600.0,3,1,3,26.3,20.0,32.9,0.0,72.0,10.1,1010.4,0,0.0,0,1,1,1,Upward
2022-02-21,2525.0,2075.0,2525.0,4,1,4,28.3,23.0,34.8,0.0,278.0,6.4,1010.4,0,0.0,0,1,1,1,Upward
