date,modal_price,min_price,max_price,markets_reporting,varieties_reporting,rows_reporting,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2022-01-03,5525.0,5025.0,5525.0,4,1,4,25.0,20.4,29.6,0.0,73.0,8.6,1015.2,0,0.0,0,0,1,1,Downward
2022-01-04,4500.0,2500.0,4500.0,4,1,4,23.9,20.0,30.1,0.0,74.0,10.1,1015.2,0,0.0,0,0,1,1,Downward
2022-01-05,5125.0,4125.0,5125.0,4,1,4,24.3,18.4,29.2,0.0,46.0,5.3,1015.4,0,0.0,0,0,1,1,Downward
2022-01-06,4525.0,2525.0,4525.0,4,1,4,24.2,20.0,29.8,0.0,77.0,8.1,1014.5,0,0.0,0,0,1,1,Downward
2022-01-07,3525.0,2525.0,3525.0,4,1,4,25.2,22.0,30.0,0.0,55.0,8.4,1014.4,0,0.0,0,0,1,1,Downward
2022-01-10,5050.0,3550.0,5050.0,4,1,4,25.3,21.0,30.4,0.0,53.0,7.6,1013.8,0,0.0,0,0,1,1,Downward
2022-01-11,5450.0,4950.0,5450.0,4,1,4,25.8,22.0,31.0,0.0,46.0,4.2,1013.6,0,0.0,0,0,1,1,Downward
2022-01-12,4525.0,3525.0,4525.0,4,1,4,26.5,23.0,33.0,0.0,71.0,5.4,1012.9,0,0.0,0,0,1,1,Downward
2022-01-13,5550.0,4550.0,5550.0,4,1,4,26.2,20.6,33.0,0.0,219.0,6.6,1012.3,0,0.0,0,0,1,1,Downward
2022-01-14,3925.0,2425.0,3925.0,4,1,4,26.2,20.2,33.2,0.0,304.0,5.8,1012.3,0,0.0,0,0,1,1,Downward
2022-01-17,4550.0,2550.0,4550.0,4,1,4,25.8,22.0,31.0,0.0,66.0,11.8,1015.8,0,0.0,0,0,1,1,Downward
2022-01-18,3500.0,2000.0,3500.0,4,1,4,25.2,19.6,31.0,0.4,48.0,9.3,1015.4,0,0.0,0,0,1,1,Downward
2022-01-19,4980.0,3480.0,4980.0,5,1,5,25.0,21.0,31.0,0.0,50.0,8.2,1014.1,0,0.0,0,0,1,1,Downward
2022-01-20,4480.0,3980.0,4480.0,5,1,5,25.7,20.6,32.0,0.0,61.0,5.8,1012.5,0,0.0,0,0,1,1,Downward
2022-01-21,5525.0,5025.0,5525.0,4,1,4,26.1,19.5,32.6,0.0,32.0,8.2,1012.6,0,0.0,0,0,1,1,Downward
2022-01-24,4420.0,2920.0,4420.0,5,1,5,25.2,19.0,32.6,0.0,218.0,8.4,1010.3,0,0.0,0,0,1,1,Downward
2022-01-25,5033.33,3533.33,5033.33,3,1,3,25.2,18.4,32.6,0.0,208.0,8.9,1010.4,0,0.0,0,0,1,1,Downward
2022-01-26,3425.0,2925.0,3425.0,4,1,4,25.2,20.0,31.0,0.0,97.0,6.7,1011.2,0,0.0,0,0,1,1,Downward
2022-01-27,4525.0,2525.0,4525.0,4,1,4,25.8,20.4,31.8,0.0,76.0,9.2,1011.2,0,0.0,0,0,1,1,Downward
2022-01-28,4600.0,4100.0,4600.0,3,1,3,25.2,21.8,30.6,1.7,60.0,14.5,1012.9,0,0.0,0,0,1,1,Downward
2022-01-31,5940.0,5440.0,5940.0,5,1,5,26.8,23.0,32.0,0.1,48.0,7.0,1012.3,0,0.0,0,0,1,1,Downward
2022-02-01,6000.0,5000.0,6000.0,3,1,3,26.5,21.7,33.1,0.1,74.0,9.4,1011.9,0,0.0,0,0,1,1,Downward
2022-02-02,5040.0,4540.0,5040.0,5,1,5,26.8,20.4,32.0,0.0,65.0,8.0,1012.5,0,0.0,0,0,1,1,Downward
2022-02-03,4520.0,2520.0,4520.0,5,1,5,26.6,21.0,33.0,0.0,84.0,7.5,1012.5,0,0.0,0,0,1,1,Downward
