date,market_id,market_name,crop,variety,min_price,max_price,modal_price,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2023-03-15,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2210.0,2230.0,2220.0,28.7,22.6,35.8,0.0,79.0,8.7,1009.8,1,1962,0,1,1,0,Price_Floor
2023-03-24,2810,Madathukulam,Maize,Other,2000.0,2200.0,2100.0,28.0,23.0,36.6,0.0,234.0,6.2,1010.3,1,1962,0,1,1,0,Price_Floor
2023-04-10,3525,Thondamuthur,Maize,Other,2000.0,2400.0,2200.0,30.8,24.8,35.0,0.7,68.0,9.7,1012.9,1,1962,0,1,1,0,Price_Floor
2023-05-23,2810,Madathukulam,Maize,Other,1950.0,2150.0,2050.0,29.6,24.2,36.2,0.0,215.0,10.6,1011.8,1,1962,0,1,1,0,Price_Floor
2023-06-02,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2030.0,2000.0,28.1,24.8,35.4,0.6,207.0,13.2,1009.6,1,2090,0,1,1,0,Price_Floor
2023-06-03,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2030.0,2000.0,29.7,25.8,36.0,0.7,215.0,12.5,1009.2,1,2090,0,1,1,0,Price_Floor
2023-06-04,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2000.0,2020.0,2010.0,29.6,25.4,36.2,3.1,214.0,13.1,1009.2,1,2090,0,1,1,0,Price_Floor
2023-06-06,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,1990.0,1970.0,29.4,24.4,35.6,0.8,203.0,15.7,1008.1,1,2090,0,1,1,0,Price_Floor
2023-06-07,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,1990.0,1970.0,28.3,25.2,36.0,0.0,212.0,19.1,1008.6,1,2090,0,1,1,0,Price_Floor
2023-06-08,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,1990.0,1970.0,27.6,22.7,35.6,0.0,218.0,15.8,1009.2,1,2090,0,1,1,0,Price_Floor
2023-06-09,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,1990.0,1980.0,27.3,23.4,35.6,0.1,213.0,20.2,1008.3,1,2090,0,1,1,0,Price_Floor
2023-06-12,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1910.0,1950.0,1930.0,27.4,24.0,34.0,0.6,214.0,16.8,1007.7,1,2090,0,1,1,0,Price_Floor
2023-06-13,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2000.0,1980.0,27.6,23.0,34.4,0.5,206.0,15.5,1008.2,1,2090,0,1,1,0,Price_Floor
2023-06-14,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1920.0,1960.0,1940.0,27.7,23.6,34.0,0.0,208.0,16.8,1009.6,1,2090,0,1,1,0,Price_Floor
2023-06-16,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,28.4,24.8,36.0,0.0,213.0,16.5,1008.8,1,2090,0,1,1,0,Price_Floor
2023-06-20,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2000.0,1980.0,27.2,24.8,33.8,2.9,206.0,13.4,1007.2,1,2090,0,1,1,0,Price_Floor
2023-06-21,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,27.5,24.6,33.4,0.9,205.0,13.6,1007.6,1,2090,0,1,1,0,Price_Floor
2023-06-22,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,27.8,23.8,33.8,0.6,204.0,13.8,1008.0,1,2090,0,1,1,0,Price_Floor
2023-06-23,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,27.6,24.0,33.5,0.4,206.0,16.4,1008.4,1,2090,0,1,1,0,Price_Floor
2023-06-26,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2050.0,2000.0,26.6,22.6,33.4,0.0,204.0,20.4,1009.0,1,2090,0,1,1,0,Price_Floor
2023-06-27,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2070.0,2130.0,2100.0,25.5,22.8,32.4,0.3,213.0,19.5,1009.8,1,2090,0,1,1,0,Price_Floor
2023-06-30,3526,Pongalur,Maize,Other,1620.0,2140.0,2090.0,28.2,24.0,34.0,0.0,213.0,18.2,1010.2,1,2090,0,1,1,0,Price_Floor
2023-07-04,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2110.0,2155.0,2130.0,24.4,22.8,31.2,12.4,225.0,21.8,1007.3,1,2090,0,1,1,0,Price_Floor
2023-07-04,2810,Madathukulam,Maize,Other,2000.0,2100.0,2050.0,24.4,22.8,31.2,12.4,225.0,21.8,1007.3,1,2090,0,1,1,0,Price_Floor
2023-07-06,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2100.0,2130.0,2110.0,24.9,21.8,30.3,4.1,218.0,19.8,1008.4,1,2090,0,1,1,0,Price_Floor
2023-07-07,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2100.0,2140.0,2120.0,25.7,22.4,30.0,3.0,218.0,18.3,1010.1,1,2090,0,1,1,0,Price_Floor
2023-07-10,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2120.0,2150.0,2130.0,27.0,22.9,32.8,0.3,217.0,16.3,1009.5,1,2090,0,1,1,0,Price_Floor
2023-07-11,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2100.0,2250.0,2180.0,26.5,24.0,32.6,0.3,208.0,16.7,1009.2,1,2090,0,1,1,0,Price_Floor
2023-07-12,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2200.0,2260.0,2230.0,27.5,23.2,33.4,0.0,209.0,15.9,1008.9,1,2090,0,1,1,0,Price_Floor
2023-07-13,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2220.0,2300.0,2260.0,26.1,23.2,33.9,0.0,223.0,18.5,1009.4,1,2090,0,1,1,0,Price_Floor
2023-07-14,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2260.0,2300.0,2280.0,26.9,22.0,32.6,0.0,222.0,17.2,1010.5,1,2090,0,1,1,0,Price_Floor
2023-07-17,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2250.0,2300.0,2270.0,27.7,23.8,33.4,0.0,217.0,17.8,1009.0,1,2090,0,1,1,0,Price_Floor
2023-07-17,3526,Pongalur,Maize,Other,1850.0,2200.0,2100.0,27.7,23.8,33.4,0.0,217.0,17.8,1009.0,1,2090,0,1,1,0,Price_Floor
2023-07-18,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2250.0,2300.0,2280.0,28.3,24.0,34.0,0.0,233.0,23.8,1008.4,1,2090,0,1,1,0,Price_Floor
2023-07-19,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2220.0,2270.0,2250.0,27.4,24.4,33.4,0.0,235.0,24.1,1007.3,1,2090,0,1,1,0,Price_Floor
2023-07-20,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2200.0,2270.0,2240.0,28.4,24.4,33.0,0.3,233.0,23.2,1007.0,1,2090,0,1,1,0,Price_Floor
2023-07-21,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2200.0,2270.0,2240.0,28.7,25.6,33.4,0.0,254.0,26.0,1007.7,1,2090,0,1,1,0,Price_Floor
2023-07-24,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2220.0,2270.0,2250.0,24.8,22.8,32.5,6.1,217.0,17.9,1009.3,1,2090,0,1,1,0,Price_Floor
