date,market_id,market_name,crop,variety,min_price,max_price,modal_price,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2023-03-15,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2210.0,2230.0,2220.0,28.93,21.39,37.22,0.22,137.4,4.932,1011.6068864330989,1,1962,0,1,1,0,Price_Floor
2023-03-24,2810,Madathukulam,Maize,Other,2000.0,2200.0,2100.0,28.13,21.85,35.29,5.28,247.3,5.184,1012.0335447571954,1,1962,0,1,1,0,Price_Floor
2023-04-10,3525,Thondamuthur,Maize,Other,2000.0,2400.0,2200.0,29.06,21.94,37.08,0.63,90.2,11.448,1014.0601717966543,1,1962,0,1,1,0,Price_Floor
2023-05-23,2810,Madathukulam,Maize,Other,1950.0,2150.0,2050.0,27.95,22.02,35.1,0.5,252.5,8.82,1013.8468426346061,1,1962,0,1,1,0,Price_Floor
2023-06-02,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2030.0,2000.0,26.61,22.89,32.86,5.28,251.1,9.54,1012.1402093382195,1,2090,0,1,1,0,Price_Floor
2023-06-03,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2030.0,2000.0,27.33,22.92,33.61,0.8,252.6,11.664000000000001,1011.7135510141229,1,2090,0,1,1,0,Price_Floor
2023-06-04,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2000.0,2020.0,2010.0,26.01,22.75,30.87,1.62,256.7,10.584,1011.8202155951471,1,2090,0,1,1,0,Price_Floor
2023-06-06,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,1990.0,1970.0,26.82,22.51,32.95,1.0,250.3,14.796000000000001,1010.9668989469538,1,2090,0,1,1,0,Price_Floor
2023-06-07,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,1990.0,1970.0,26.23,23.24,31.3,4.76,254.9,15.659999999999998,1010.9668989469538,1,2090,0,1,1,0,Price_Floor
2023-06-08,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,1990.0,1970.0,26.12,23.2,31.38,3.05,257.2,15.3,1011.2868926900263,1,2090,0,1,1,0,Price_Floor
2023-06-09,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,1990.0,1980.0,26.14,22.68,31.51,1.75,258.1,17.568,1010.5402406228573,1,2090,0,1,1,0,Price_Floor
2023-06-12,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1910.0,1950.0,1930.0,26.05,22.8,30.86,6.42,255.0,15.192,1010.326911460809,1,2090,0,1,1,0,Price_Floor
2023-06-13,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2000.0,1980.0,26.1,22.7,30.59,3.77,255.8,15.803999999999998,1010.8602343659296,1,2090,0,1,1,0,Price_Floor
2023-06-14,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1920.0,1960.0,1940.0,25.21,22.26,28.73,1.23,254.8,13.968,1012.0335447571954,1,2090,0,1,1,0,Price_Floor
2023-06-16,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,27.25,22.55,33.63,0.2,265.1,17.28,1011.1802281090022,1,2090,0,1,1,0,Price_Floor
2023-06-20,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2000.0,1980.0,26.27,21.87,32.43,10.16,263.8,9.648000000000001,1009.9002531367123,1,2090,0,1,1,0,Price_Floor
2023-06-21,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,26.27,22.25,32.45,12.07,250.3,11.412,1010.1135822987605,1,2090,0,1,1,0,Price_Floor
2023-06-22,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,25.17,21.82,30.62,8.3,257.6,11.232000000000001,1010.4335760418331,1,2090,0,1,1,0,Price_Floor
2023-06-23,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1950.0,2000.0,1970.0,24.48,20.93,29.47,0.7,268.1,14.256,1010.8602343659296,1,2090,0,1,1,0,Price_Floor
2023-06-26,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),1970.0,2050.0,2000.0,24.17,20.18,29.84,1.28,263.2,14.904,1010.8602343659296,1,2090,0,1,1,0,Price_Floor
2023-06-27,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2070.0,2130.0,2100.0,24.46,20.02,29.91,4.86,257.4,14.868,1011.7135510141229,1,2090,0,1,1,0,Price_Floor
2023-06-30,3526,Pongalur,Maize,Other,1620.0,2140.0,2090.0,24.5,20.22,29.59,0.74,260.8,13.68,1012.3535385002677,1,2090,0,1,1,0,Price_Floor
2023-07-04,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2110.0,2155.0,2130.0,24.49,22.02,28.62,12.95,255.7,26.388,1009.1536010695432,1,2090,0,1,1,0,Price_Floor
2023-07-04,2810,Madathukulam,Maize,Other,2000.0,2100.0,2050.0,24.49,22.02,28.62,12.95,255.7,26.388,1009.1536010695432,1,2090,0,1,1,0,Price_Floor
2023-07-06,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2100.0,2130.0,2110.0,23.94,21.15,27.64,8.91,259.8,20.232,1010.7535697849056,1,2090,0,1,1,0,Price_Floor
2023-07-07,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2100.0,2140.0,2120.0,23.92,21.05,27.67,10.54,253.6,18.828000000000003,1012.3535385002677,1,2090,0,1,1,0,Price_Floor
2023-07-10,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2120.0,2150.0,2130.0,25.25,21.68,30.25,6.04,265.7,10.332,1011.3935572710504,1,2090,0,1,1,0,Price_Floor
2023-07-11,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2100.0,2250.0,2180.0,24.65,20.65,29.81,1.7,270.5,12.096,1011.2868926900263,1,2090,0,1,1,0,Price_Floor
2023-07-12,1102,Udumalpet,Maize,Hybrid Red (Cattle Feed),2200.0,2260.0,2230.0,24.42,19.65,30.56,0.59,271.4,14.832,1011.3935572710504,1,2090,0,1,1,0,Price_Floor
