date,modal_price,min_price,max_price,markets_reporting,varieties_reporting,rows_reporting,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2020-01-02,1700.0,1600.0,1800.0,1,1,1,23.37,19.81,27.9,0.0,90.2,8.388,1016.9401154843067,,,,,,,
2020-01-03,1700.0,1600.0,1800.0,1,1,1,24.28,19.68,29.59,0.0,93.6,7.5600000000000005,1015.8734696740651,,,,,,,
2020-01-06,2000.0,1950.0,2043.0,1,1,1,23.38,19.15,29.01,0.02,86.1,13.104000000000001,1016.0867988361134,,,,,,,
2020-01-07,1850.0,1775.0,1921.5,2,2,2,22.94,18.47,28.91,0.01,82.0,11.808,1015.8734696740651,,,,,,,
2020-01-10,1950.0,1900.0,2000.0,1,1,1,22.22,16.71,28.8,0.0,83.8,12.204,1015.5534759309925,,,,,,,
2020-01-17,1900.0,1800.0,2000.0,1,1,1,23.29,16.18,30.13,0.07,92.1,8.1,1014.5934947017752,,,,,,,
2020-01-18,1900.0,1800.0,2000.0,1,1,1,24.23,19.06,30.46,2.7,82.3,11.879999999999999,1014.3801655397268,,,,,,,
2020-01-19,1850.0,1750.0,1950.0,1,1,1,23.37,18.54,29.97,1.52,84.2,12.024,1015.126817606896,,,,,,,
2020-01-20,1700.0,1600.0,1800.0,1,1,1,23.32,17.69,30.69,0.01,82.2,11.556000000000001,1016.0867988361134,,,,,,,
2020-01-21,1910.0,1880.0,1950.0,1,1,1,22.9,17.37,30.48,0.0,75.5,12.924,1016.6201217412341,,,,,,,
2020-01-22,1800.0,1737.5,1865.0,2,2,2,23.31,16.74,30.92,0.0,78.0,14.688,1016.4067925791859,,,,,,,
2020-01-27,1700.0,1600.0,1800.0,1,1,1,24.13,16.61,31.99,0.0,89.7,6.9479999999999995,1015.0201530258717,,,,,,,
2020-01-29,1800.0,1700.0,1950.0,1,1,1,24.86,18.15,32.39,0.0,106.4,5.652,1015.8734696740651,,,,,,,
2020-01-31,1800.0,1700.0,1950.0,1,1,1,24.39,18.67,32.56,0.0,88.8,8.712,1013.8468426346061,,,,,,,
2020-02-04,1800.0,1725.0,1890.0,2,2,2,24.37,17.54,31.79,0.3,92.8,10.116,1015.0201530258717,,,,,,,
2020-02-05,1810.0,1750.0,1850.0,2,2,2,24.2,17.85,30.88,1.3,90.7,8.388,1015.5534759309925,,,,,,,
2020-02-06,1720.0,1700.0,1750.0,1,1,1,24.62,17.48,32.63,0.63,90.0,7.488,1015.3401467689442,,,,,,,
2020-02-12,1700.0,1670.0,1720.0,1,1,1,25.23,17.65,32.97,0.0,80.8,14.328,1017.4734383894273,,,,,,,
2020-02-13,1705.0,1690.0,1720.0,1,1,1,24.62,17.5,33.68,0.0,79.0,12.06,1016.4067925791859,,,,,,,
