date,modal_price,min_price,max_price,markets_reporting,varieties_reporting,rows_reporting,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2021-04-01,7666.67,5500.0,7666.67,3,1,3,29.6,24.1,38.2,0.0,208.0,15.0,1006.9,0,0.0,0,1,1,1,Neutral
2021-04-02,7333.33,5333.33,7333.33,3,1,3,29.2,24.0,37.9,0.0,203.0,16.0,1006.8,0,0.0,0,1,1,1,Neutral
2021-04-05,7000.0,5000.0,7000.0,2,1,2,29.9,23.6,37.2,1.0,184.0,9.8,1008.7,0,0.0,0,1,1,1,Neutral
2021-04-06,6250.0,4500.0,6250.0,2,1,2,30.6,25.4,38.0,0.0,62.0,8.8,1009.6,0,0.0,0,1,1,1,Neutral
2021-04-07,5750.0,3750.0,5750.0,2,1,2,30.2,24.4,36.3,0.0,126.0,10.5,1011.1,0,0.0,0,1,1,1,Neutral
2021-04-08,6833.33,5333.33,6833.33,3,1,3,29.4,23.9,37.0,0.0,193.0,7.2,1010.2,0,0.0,0,1,1,1,Neutral
2021-04-09,8000.0,6333.33,8000.0,3,1,3,30.0,24.8,36.3,0.0,129.0,8.4,1009.3,0,0.0,0,1,1,1,Neutral
2021-04-12,8500.0,6500.0,8500.0,3,1,3,29.0,25.0,35.0,9.3,31.0,8.4,1012.8,0,0.0,0,1,1,1,Neutral
2021-04-13,6250.0,4750.0,6250.0,2,1,2,28.9,24.7,36.2,2.0,44.0,7.7,1012.1,0,0.0,0,1,1,1,Neutral
2021-04-14,8000.0,6500.0,8000.0,3,1,3,27.7,23.0,36.1,0.0,30.0,8.8,1011.6,0,0.0,0,1,1,1,Neutral
2021-04-15,7750.0,5250.0,7750.0,2,1,2,27.0,20.8,34.3,15.0,45.0,9.8,1012.0,0,0.0,0,1,1,1,Neutral
2021-04-16,7250.0,5750.0,7250.0,2,1,2,28.9,23.0,36.0,0.0,161.0,9.4,1010.8,0,0.0,0,1,1,1,Neutral
2021-04-19,7500.0,5000.0,7500.0,3,1,3,29.0,24.0,35.0,1.0,206.0,11.9,1010.9,0,0.0,0,1,1,1,Neutral
2021-04-20,8000.0,6750.0,8000.0,2,1,2,25.8,20.8,35.7,15.0,203.0,11.8,1010.6,0,0.0,0,1,1,1,Neutral
2021-04-21,8000.0,6250.0,8000.0,2,1,2,28.4,23.2,34.0,0.0,195.0,11.2,1011.0,0,0.0,0,1,1,1,Neutral
