date,market_name,modal_price,min_price,max_price,markets_reporting,varieties_reporting,rows_reporting,tavg,tmin,tmax,prcp,wdir,wspd,pres,msp_applicable,msp_value_per_quintal,govt_procurement_active,pmfby_insurance_active,state_scheme_active,harvest_season_active,price_impact_direction
2020-01-06,Udumalpet,2000.0,1950.0,2043.0,1,1,1,23.38,19.15,29.01,0.02,86.1,13.104,1016.0867988361134,,,,,,,
2020-01-07,Udumalpet,2000.0,1950.0,2043.0,1,1,1,22.94,18.47,28.91,0.01,82.0,11.808,1015.8734696740652,,,,,,,
2020-01-10,Udumalpet,1950.0,1900.0,2000.0,1,1,1,22.22,16.71,28.8,0.0,83.8,12.204,1015.5534759309924,,,,,,,
2020-01-21,Udumalpet,1910.0,1880.0,1950.0,1,1,1,22.9,17.37,30.48,0.0,75.5,12.924,1016.620121741234,,,,,,,
2020-01-22,Udumalpet,1900.0,1875.0,1930.0,1,1,1,23.31,16.74,30.92,0.0,78.0,14.688,1016.406792579186,,,,,,,
2020-02-04,Udumalpet,1800.0,1750.0,1830.0,1,1,1,24.37,17.54,31.79,0.3,92.8,10.116,1015.0201530258717,,,,,,,
2020-02-05,Udumalpet,1720.0,1700.0,1750.0,1,1,1,24.2,17.85,30.88,1.3,90.7,8.388,1015.5534759309924,,,,,,,
2020-02-06,Udumalpet,1720.0,1700.0,1750.0,1,1,1,24.62,17.48,32.63,0.63,90.0,7.488,1015.3401467689442,,,,,,,
2020-02-12,Udumalpet,1700.0,1670.0,1720.0,1,1,1,25.23,17.65,32.97,0.0,80.8,14.328,1017.4734383894272,,,,,,,
2020-02-13,Udumalpet,1705.0,1690.0,1720.0,1,1,1,24.62,17.5,33.68,0.0,79.0,12.06,1016.406792579186,,,,,,,
2020-02-14,Udumalpet,1730.0,1700.0,1770.0,1,1,1,25.42,17.29,33.92,0.0,95.9,7.308,1015.0201530258717,,,,,,,
2020-03-31,Udumalpet,1700.0,1600.0,1800.0,1,1,1,29.35,21.34,38.12,0.04,88.6,10.26,1013.6335134725578,,,,,,,
2020-04-17,Udumalpet,1720.0,1700.0,1750.0,1,1,1,30.91,23.82,38.75,0.3,150.7,7.416,1012.2468739192436,,,,,,,
2020-06-18,Udumalpet,1440.0,1400.0,1480.0,1,1,1,24.51,21.36,29.8,1.91,254.7,16.308,1011.073563527978,,,,,,,
2020-07-02,Udumalpet,1530.0,1500.0,1550.0,1,1,1,24.17,21.04,28.35,6.63,267.6,16.668,1010.1135822987604,,,,,,,
2020-07-07,Udumalpet,1520.0,1480.0,1550.0,1,1,1,24.34,21.0,29.04,5.23,249.9,16.776,1010.5402406228573,,,,,,,
2020-07-24,Udumalpet,1490.0,1450.0,1520.0,1,1,1,23.63,20.53,27.79,1.72,231.8,12.672,1010.6469052038814,,,,,,,
2020-07-25,Udumalpet,1480.0,1450.0,1520.0,1,1,1,22.97,20.58,25.48,2.73,224.5,12.384,1011.7135510141228,,,,,,,
2020-07-31,Udumalpet,1510.0,1480.0,1530.0,1,1,1,24.09,21.75,27.74,12.29,250.5,17.064,1009.046936488519,,,,,,,
2020-08-11,Udumalpet,1500.0,1480.0,1530.0,1,1,1,23.77,21.51,27.16,8.0,257.9,16.740000000000002,1011.9268801761712,,,,,,,
2020-08-13,Udumalpet,1470.0,1460.0,1480.0,1,1,1,23.57,21.39,26.62,6.37,258.4,14.22,1010.5402406228573,,,,,,,
2020-08-14,Udumalpet,1480.0,1470.0,1510.0,1,1,1,22.98,20.67,26.45,1.79,254.1,14.508,1009.6869239746638,,,,,,,
2020-08-15,Udumalpet,1410.0,1400.0,1460.0,1,1,1,23.39,20.8,26.63,0.64,250.1,15.515999999999998,1010.4335760418332,,,,,,,
2020-08-18,Udumalpet,1470.0,1440.0,1500.0,1,1,1,24.27,21.1,28.63,3.68,258.5,14.688,1010.1135822987604,,,,,,,
2020-08-19,Udumalpet,1450.0,1420.0,1470.0,1,1,1,23.75,21.35,27.36,0.27,263.7,12.312,1009.2602656505674,,,,,,,
2020-08-20,Udumalpet,1440.0,1430.0,1450.0,1,1,1,23.41,21.0,26.58,0.38,258.6,11.592,1010.0069177177364,,,,,,,
2020-08-24,Udumalpet,1450.0,1430.0,1470.0,1,1,1,24.4,21.15,28.88,10.41,257.0,8.532,1011.7135510141228,,,,,,,
2020-08-25,Udumalpet,1430.0,1400.0,1450.0,1,1,1,24.47,21.33,28.96,2.11,274.0,8.172,1012.3535385002676,,,,,,,
2020-08-28,Udumalpet,1450.0,1420.0,1470.0,1,1,1,24.7,20.61,30.42,0.13,263.2,11.16,1010.6469052038814,,,,,,,
2020-09-03,Udumalpet,1430.0,1400.0,1450.0,1,1,1,24.1,20.87,27.98,3.64,223.0,7.164,1010.1135822987604,,,,,,,
2020-09-04,Udumalpet,1440.0,1400.0,1480.0,1,1,1,24.76,21.43,28.74,7.64,233.9,5.724,1009.5802593936398,,,,,,,
2020-09-07,Udumalpet,1470.0,1450.0,1500.0,1,1,1,23.28,21.03,26.02,4.35,242.8,15.408,1010.7535697849056,,,,,,,
2020-09-08,Udumalpet,1460.0,1440.0,1490.0,1,1,1,24.1,20.95,27.58,4.23,243.1,9.792000000000002,1010.7535697849056,,,,,,,
2020-09-09,Udumalpet,1480.0,1450.0,1500.0,1,1,1,23.64,21.31,27.5,16.86,228.5,13.752,1009.5802593936398,,,,,,,
2020-09-10,Udumalpet,1480.0,1450.0,1510.0,1,1,1,23.48,21.45,26.88,5.98,226.5,21.384,1008.1936198403256,,,,,,,
2020-09-11,Udumalpet,1450.0,1400.0,1500.0,1,1,1,23.26,20.68,26.25,10.03,245.8,18.432,1010.2202468797848,,,,,,,
2020-09-12,Udumalpet,1490.0,1470.0,1510.0,1,1,1,22.29,19.04,26.05,6.3,251.4,14.472,1012.1402093382196,,,,,,,
2020-09-16,Udumalpet,1540.0,1500.0,1570.0,1,1,1,23.99,21.23,27.97,2.21,258.1,14.4,1011.073563527978,,,,,,,
2020-09-17,Udumalpet,1550.0,1520.0,1570.0,1,1,1,24.06,21.26,27.92,5.9,257.8,16.272,1011.3935572710504,,,,,,,
2020-09-18,Udumalpet,1530.0,1500.0,1550.0,1,1,1,23.62,20.75,27.68,5.58,262.4,18.072,1010.0069177177364,,,,,,,
2020-09-21,Udumalpet,1550.0,1530.0,1570.0,1,1,1,22.84,20.4,26.67,5.98,252.2,23.904,1009.046936488519,,,,,,,
2020-09-22,Udumalpet,1530.0,1520.0,1550.0,1,1,1,22.5,19.94,25.85,1.89,257.7,17.496000000000002,1010.4335760418332,,,,,,,
2020-09-23,Udumalpet,1520.0,1500.0,1550.0,1,1,1,23.13,19.81,27.03,1.6,253.3,13.5,1011.3935572710504,,,,,,,
2020-09-25,Udumalpet,1530.0,1520.0,1550.0,1,1,1,22.94,19.77,27.76,4.84,252.9,10.008,1012.3535385002676,,,,,,,
2020-09-29,Udumalpet,1500.0,1470.0,1520.0,1,1,1,23.67,21.09,27.64,13.4,257.0,14.58,1010.6469052038814,,,,,,,
2020-10-08,Udumalpet,1330.0,1300.0,1350.0,1,1,1,24.6,22.32,28.17,7.47,259.6,6.336,1010.8602343659296,,,,,,,
2020-10-20,Udumalpet,1400.0,1350.0,1450.0,1,1,1,22.92,21.04,25.82,6.78,256.6,10.44,1010.2202468797848,,,,,,,
2020-10-21,Udumalpet,1450.0,1400.0,1500.0,1,1,1,23.54,20.87,27.76,2.74,254.2,12.852,1010.4335760418332,,,,,,,
2020-10-22,Udumalpet,1450.0,1400.0,1490.0,1,1,1,23.71,20.79,27.96,0.73,247.7,12.528,1010.2202468797848,,,,,,,
2020-10-23,Udumalpet,1450.0,1400.0,1490.0,1,1,1,23.22,19.23,28.53,0.04,245.6,13.284,1011.073563527978,,,,,,,
2020-10-24,Udumalpet,1480.0,1450.0,1500.0,1,1,1,22.41,18.0,28.3,0.02,260.3,9.576,1012.5668676623164,,,,,,,
