Price Date,tavg,tmin,tmax,prcp,wdir,wspd,pres
01-Jan-20,26.1,22.0,31.0,0.0,49.0,7.5,1014.8
02-Jan-20,26.3,22.5,31.0,0.0,49.0,5.8,1016.2
03-Jan-20,26.8,22.6,33.0,0.0,49.0,6.8,1015.0
04-Jan-20,27.4,24.0,33.0,0.0,49.0,5.0,1013.1
05-Jan-20,27.2,22.6,32.5,0.0,49.0,7.55,1014.1
06-Jan-20,26.4,22.8,32.7,0.0,49.0,10.1,1015.1
07-Jan-20,26.1,21.6,32.0,0.0,62.0,8.5,1015.0
08-Jan-20,25.6,22.0,31.8,0.0,62.0,4.8,1014.4
09-Jan-20,25.3,21.0,32.6,0.0,62.0,5.6,1014.4
10-Jan-20,24.3,20.0,30.4,0.0,49.0,6.9,1014.4
11-Jan-20,23.7,18.4,30.6,0.0,49.0,4.8,1015.5
12-Jan-20,24.4,16.3,30.7,0.0,28.0,5.6,1014.3
13-Jan-20,25.3,20.4,31.0,0.0,28.0,3.4,1013.75
14-Jan-20,25.1,19.8,31.0,0.0,28.0,4.25,1013.2
15-Jan-20,23.5,18.5,31.4,0.0,31.0,5.1,1013.8
16-Jan-20,24.9,19.5,31.0,0.0,31.0,5.1,1013.8
17-Jan-20,26.1,18.8,33.0,0.0,31.0,6.3,1013.75
18-Jan-20,25.6,21.5,32.6,0.0,57.0,9.1,1013.7
19-Jan-20,26.3,21.9,31.0,0.3,57.0,7.2,1014.2
20-Jan-20,27.0,22.0,32.4,0.0,57.0,5.8,1014.9
21-Jan-20,26.7,21.0,32.3,0.0,66.0,9.3,1015.8
22-Jan-20,26.8,20.3,32.2,0.0,43.0,8.2,1016.2
23-Jan-20,25.8,21.6,32.4,0.0,43.0,8.7,1015.5
24-Jan-20,25.9,19.4,32.0,0.0,53.0,8.6,1015.0
25-Jan-20,24.8,19.2,33.0,0.0,32.0,4.4,1015.1
26-Jan-20,25.4,19.0,33.0,0.0,32.0,4.5,1014.1
27-Jan-20,26.4,19.0,33.0,0.0,32.0,5.4,1013.8
28-Jan-20,26.7,19.8,34.0,0.0,32.0,5.4,1014.0
29-Jan-20,26.7,21.0,34.0,0.0,30.0,6.4,1014.5
30-Jan-20,26.6,21.0,34.0,0.0,29.0,4.1,1013.8
31-Jan-20,26.7,21.0,34.3,0.0,39.0,7.2,1012.8
01-Feb-20,26.4,21.5,32.9,0.0,47.0,9.8,1013.5
02-Feb-20,26.2,21.6,32.1,0.0,48.0,10.1,1015.5
03-Feb-20,26.2,21.0,32.0,0.0,48.0,8.4,1015.5
04-Feb-20,26.7,21.5,32.8,0.0,48.0,6.7,1014.1
05-Feb-20,26.8,23.0,32.4,0.0,75.0,10.0,1014.2
06-Feb-20,26.9,20.8,33.0,0.0,75.0,7.3,1014.2
07-Feb-20,26.4,21.0,33.0,0.0,75.0,4.8,1014.9
08-Feb-20,27.1,21.7,33.2,0.0,75.0,7.3,1014.7
09-Feb-20,26.7,21.8,33.6,0.0,75.0,7.7,1014.8
10-Feb-20,26.6,22.0,32.6,0.0,69.0,10.0,1014.6
11-Feb-20,26.6,21.9,32.4,0.0,58.0,12.8,1015.0
12-Feb-20,27.1,20.5,32.0,0.0,58.0,11.4,1016.2
13-Feb-20,27.2,22.4,33.0,0.0,68.0,9.7,1015.5
14-Feb-20,27.5,20.5,35.0,0.0,68.0,4.4,1013.9
15-Feb-20,27.9,21.0,35.0,0.0,68.0,4.9,1013.4
16-Feb-20,27.3,20.8,35.0,0.0,68.0,8.8,1014.7
17-Feb-20,26.7,19.9,34.0,0.0,68.0,9.7,1015.5
18-Feb-20,26.3,19.6,34.2,0.0,62.0,11.2,1015.4
19-Feb-20,26.2,20.0,33.2,0.0,57.0,10.4,1014.8
20-Feb-20,25.7,20.0,33.1,0.0,61.0,11.3,1014.6
21-Feb-20,27.4,19.9,33.0,0.0,39.0,11.6,1015.5
22-Feb-20,27.4,22.6,33.5,0.0,39.0,13.4,1016.1
23-Feb-20,27.1,22.1,33.1,0.0,60.0,12.9,1015.7
24-Feb-20,27.7,22.3,33.0,0.0,60.0,10.5,1013.5
