date,forecast
2025-05-05,21997.111106768323
2025-05-06,21994.222213536646
2025-05-07,21991.33332030497
2025-05-08,21988.444427073293
2025-05-09,21985.555533841616
2025-05-10,21982.66664060994
2025-05-11,21979.777747378263
2025-05-12,21988.497557904175
2025-05-13,21997.21736843009
2025-05-14,22005.937178956003
2025-05-15,22014.65698948192
2025-05-16,22023.37680000783
2025-05-17,22032.096610533747
2025-05-18,22040.81642105966
2025-05-19,22036.30722597265
2025-05-20,22031.79803088564
2025-05-21,22027.28883579863
2025-05-22,22022.77964071162
2025-05-23,22018.27044562461
2025-05-24,22013.7612505376
2025-05-25,22009.25205545059
2025-05-26,22011.84656495769
2025-05-27,22014.441074464787
2025-05-28,22017.035583971887
2025-05-29,22019.630093478987
2025-05-30,22022.224602986087
2025-05-31,22024.819112493184
2025-06-01,22027.413622000284
2025-06-02,22025.93925828074
2025-06-03,22024.464894561195
2025-06-04,22022.990530841653
2025-06-05,22021.51616712211
2025-06-06,22020.041803402568
2025-06-07,22018.56743968302
2025-06-08,22017.09307596348
2025-06-09,22017.9320693786
2025-06-10,22018.77106279372
2025-06-11,22019.61005620884
2025-06-12,22020.44904962396
2025-06-13,22021.28804303908
2025-06-14,22022.1270364542
2025-06-15,22022.96602986932
2025-06-16,22022.48867149959
2025-06-17,22022.01131312986
2025-06-18,22021.53395476013
2025-06-19,22021.056596390397
2025-06-20,22020.579238020666
2025-06-21,22020.101879650938
2025-06-22,22019.624521281206
2025-06-23,22019.89612653047
2025-06-24,22020.167731779733
2025-06-25,22020.439337028998
2025-06-26,22020.71094227826
2025-06-27,22020.982547527525
2025-06-28,22021.254152776786
2025-06-29,22021.52575802605
2025-06-30,22021.371221580088
2025-07-01,22021.216685134124
2025-07-02,22021.06214868816
2025-07-03,22020.907612242194
2025-07-04,22020.75307579623
2025-07-05,22020.598539350267
2025-07-06,22020.444002904303
2025-07-07,22020.53193021236
2025-07-08,22020.619857520414
2025-07-09,22020.70778482847
2025-07-10,22020.79571213653
2025-07-11,22020.883639444586
2025-07-12,22020.97156675264
2025-07-13,22021.059494060697
2025-07-14,22021.009465659554
2025-07-15,22020.959437258414
2025-07-16,22020.90940885727
2025-07-17,22020.859380456128
2025-07-18,22020.809352054985
2025-07-19,22020.759323653845
2025-07-20,22020.709295252702
2025-07-21,22020.737760140153
2025-07-22,22020.766225027604
2025-07-23,22020.794689915056
2025-07-24,22020.823154802507
2025-07-25,22020.851619689958
2025-07-26,22020.88008457741
2025-07-27,22020.90854946486
2025-07-28,22020.892353668096
2025-07-29,22020.87615787133
2025-07-30,22020.859962074566
2025-07-31,22020.8437662778
2025-08-01,22020.827570481037
2025-08-02,22020.811374684272
