date,predicted_modal_price
2025-01-06,3328.57
2025-01-07,3328.57
2025-01-08,3328.57
2025-01-09,3328.57
2025-01-10,3328.57
2025-01-11,3328.57
2025-01-12,3328.57
2025-01-13,3328.57
2025-01-14,3328.57
2025-01-15,3328.57
2025-01-16,3328.57
2025-01-17,3328.57
2025-01-18,3328.57
2025-01-19,3328.57
2025-01-20,3328.57
2025-01-21,3328.57
2025-01-22,3328.57
2025-01-23,3328.57
2025-01-24,3328.57
2025-01-25,3328.57
2025-01-26,3328.57
2025-01-27,3328.57
2025-01-28,3328.57
2025-01-29,3328.57
2025-01-30,3328.57
2025-01-31,3328.57
2025-02-01,3328.57
2025-02-02,3328.57
2025-02-03,3328.57
2025-02-04,3328.57
2025-02-05,3328.57
2025-02-06,3328.57
2025-02-07,3328.57
2025-02-08,3328.57
2025-02-09,3328.57
2025-02-10,3328.57
2025-02-11,3328.57
2025-02-12,3328.57
2025-02-13,3328.57
2025-02-14,3328.57
2025-02-15,3328.57
2025-02-16,3328.57
2025-02-17,3328.57
2025-02-18,3328.57
2025-02-19,3328.57
2025-02-20,3328.57
2025-02-21,3328.57
2025-02-22,3328.57
2025-02-23,3328.57
2025-02-24,3328.57
2025-02-25,3328.57
2025-02-26,3328.57
2025-02-27,3328.57
2025-02-28,3328.57
2025-03-01,3328.57
2025-03-02,3328.57
2025-03-03,3328.57
2025-03-04,3328.57
2025-03-05,3328.57
2025-03-06,3328.57
2025-03-07,3328.57
2025-03-08,3328.57
2025-03-09,3328.57
2025-03-10,3328.57
2025-03-11,3328.57
2025-03-12,3328.57
2025-03-13,3328.57
2025-03-14,3328.57
2025-03-15,3328.57
2025-03-16,3328.57
2025-03-17,3328.57
2025-03-18,3328.57
2025-03-19,3328.57
2025-03-20,3328.57
2025-03-21,3328.57
2025-03-22,3328.57
2025-03-23,3328.57
2025-03-24,3328.57
2025-03-25,3328.57
2025-03-26,3328.57
2025-03-27,3328.57
2025-03-28,3328.57
2025-03-29,3328.57
2025-03-30,3328.57
2025-03-31,3328.57
2025-04-01,3328.57
2025-04-02,3328.57
2025-04-03,3328.57
2025-04-04,3328.57
2025-04-05,3328.57
