date,predicted_modal_price
2025-01-06,7579.17
2025-01-07,7579.17
2025-01-08,7579.17
2025-01-09,7579.17
2025-01-10,7579.17
2025-01-11,7579.17
2025-01-12,7579.17
2025-01-13,7579.17
2025-01-14,7579.17
2025-01-15,7579.17
2025-01-16,7579.17
2025-01-17,7579.17
2025-01-18,7579.17
2025-01-19,7579.17
2025-01-20,7579.17
2025-01-21,7579.17
2025-01-22,7579.17
2025-01-23,7579.17
2025-01-24,7579.17
2025-01-25,7579.17
2025-01-26,7579.17
2025-01-27,7579.17
2025-01-28,7579.17
2025-01-29,7579.17
2025-01-30,7579.17
2025-01-31,7579.17
2025-02-01,7579.17
2025-02-02,7579.17
2025-02-03,7579.17
2025-02-04,7579.17
2025-02-05,7579.17
2025-02-06,7579.17
2025-02-07,7579.17
2025-02-08,7579.17
2025-02-09,7579.17
2025-02-10,7579.17
2025-02-11,7579.17
2025-02-12,7579.17
2025-02-13,7579.17
2025-02-14,7579.17
2025-02-15,7579.17
2025-02-16,7579.17
2025-02-17,7579.17
2025-02-18,7579.17
2025-02-19,7579.17
2025-02-20,7579.17
2025-02-21,7579.17
2025-02-22,7579.17
2025-02-23,7579.17
2025-02-24,7579.17
2025-02-25,7579.17
2025-02-26,7579.17
2025-02-27,7579.17
2025-02-28,7579.17
2025-03-01,7579.17
2025-03-02,7579.17
2025-03-03,7579.17
2025-03-04,7579.17
2025-03-05,7579.17
2025-03-06,7579.17
2025-03-07,7579.17
2025-03-08,7579.17
2025-03-09,7579.17
2025-03-10,7579.17
2025-03-11,7579.17
2025-03-12,7579.17
2025-03-13,7579.17
2025-03-14,7579.17
2025-03-15,7579.17
2025-03-16,7579.17
2025-03-17,7579.17
2025-03-18,7579.17
2025-03-19,7579.17
2025-03-20,7579.17
2025-03-21,7579.17
2025-03-22,7579.17
2025-03-23,7579.17
2025-03-24,7579.17
2025-03-25,7579.17
2025-03-26,7579.17
2025-03-27,7579.17
2025-03-28,7579.17
2025-03-29,7579.17
2025-03-30,7579.17
2025-03-31,7579.17
2025-04-01,7579.17
2025-04-02,7579.17
2025-04-03,7579.17
2025-04-04,7579.17
2025-04-05,7579.17
