date,predicted_modal_price
2025-01-06,6629.17
2025-01-07,6629.17
2025-01-08,6629.17
2025-01-09,6629.17
2025-01-10,6629.17
2025-01-11,6629.17
2025-01-12,6629.17
2025-01-13,6629.17
2025-01-14,6629.17
2025-01-15,6629.17
2025-01-16,6629.17
2025-01-17,6629.17
2025-01-18,6629.17
2025-01-19,6629.17
2025-01-20,6629.17
2025-01-21,6629.17
2025-01-22,6629.17
2025-01-23,6629.17
2025-01-24,6629.17
2025-01-25,6629.17
2025-01-26,6629.17
2025-01-27,6629.17
2025-01-28,6629.17
2025-01-29,6629.17
2025-01-30,6629.17
2025-01-31,6629.17
2025-02-01,6629.17
2025-02-02,6629.17
2025-02-03,6629.17
2025-02-04,6629.17
2025-02-05,6629.17
2025-02-06,6629.17
2025-02-07,6629.17
2025-02-08,6629.17
2025-02-09,6629.17
2025-02-10,6629.17
2025-02-11,6629.17
2025-02-12,6629.17
2025-02-13,6629.17
2025-02-14,6629.17
2025-02-15,6629.17
2025-02-16,6629.17
2025-02-17,6629.17
2025-02-18,6629.17
2025-02-19,6629.17
2025-02-20,6629.17
2025-02-21,6629.17
2025-02-22,6629.17
2025-02-23,6629.17
2025-02-24,6629.17
2025-02-25,6629.17
2025-02-26,6629.17
2025-02-27,6629.17
2025-02-28,6629.17
2025-03-01,6629.17
2025-03-02,6629.17
2025-03-03,6629.17
2025-03-04,6629.17
2025-03-05,6629.17
2025-03-06,6629.17
2025-03-07,6629.17
2025-03-08,6629.17
2025-03-09,6629.17
2025-03-10,6629.17
2025-03-11,6629.17
2025-03-12,6629.17
2025-03-13,6629.17
2025-03-14,6629.17
2025-03-15,6629.17
2025-03-16,6629.17
2025-03-17,6629.17
2025-03-18,6629.17
2025-03-19,6629.17
2025-03-20,6629.17
2025-03-21,6629.17
2025-03-22,6629.17
2025-03-23,6629.17
2025-03-24,6629.17
2025-03-25,6629.17
2025-03-26,6629.17
2025-03-27,6629.17
2025-03-28,6629.17
2025-03-29,6629.17
2025-03-30,6629.17
2025-03-31,6629.17
2025-04-01,6629.17
2025-04-02,6629.17
2025-04-03,6629.17
2025-04-04,6629.17
2025-04-05,6629.17
