date,forecast
2025-05-05,13311.556226886769
2025-05-06,13206.447453773537
2025-05-07,13101.338680660305
2025-05-08,12996.229907547071
2025-05-09,12891.121134433839
2025-05-10,12786.012361320607
2025-05-11,12680.903588207375
2025-05-12,12565.888703041668
2025-05-13,12450.873817875963
2025-05-14,12335.858932710256
2025-05-15,12220.844047544551
2025-05-16,12105.829162378845
2025-05-17,11990.81427721314
2025-05-18,11875.799392047433
2025-05-19,11844.90632682316
2025-05-20,11814.013261598886
2025-05-21,11783.120196374613
2025-05-22,11752.22713115034
2025-05-23,11721.334065926067
2025-05-24,11690.441000701792
2025-05-25,11659.54793547752
2025-05-26,11696.948145921922
2025-05-27,11734.348356366325
2025-05-28,11771.748566810727
2025-05-29,11809.148777255132
2025-05-30,11846.548987699534
2025-05-31,11883.949198143937
2025-06-01,11921.34940858834
2025-06-02,11943.244724365379
2025-06-03,11965.140040142418
2025-06-04,11987.035355919457
2025-06-05,12008.930671696497
2025-06-06,12030.825987473536
2025-06-07,12052.721303250575
2025-06-08,12074.616619027614
2025-06-09,12073.89370808031
2025-06-10,12073.170797133005
2025-06-11,12072.4478861857
2025-06-12,12071.724975238396
2025-06-13,12071.002064291091
2025-06-14,12070.279153343787
2025-06-15,12069.556242396482
2025-06-16,12052.3953050442
2025-06-17,12035.234367691917
2025-06-18,12018.073430339635
2025-06-19,12000.91249298735
2025-06-20,11983.751555635068
2025-06-21,11966.590618282786
2025-06-22,11949.429680930503
2025-06-23,11951.98256390836
2025-06-24,11954.535446886215
2025-06-25,11957.088329864071
2025-06-26,11959.641212841927
2025-06-27,11962.194095819783
2025-06-28,11964.746978797639
2025-06-29,11967.299861775495
2025-06-30,11983.650829846694
2025-07-01,12000.001797917892
2025-07-02,12016.352765989091
2025-07-03,12032.703734060291
2025-07-04,12049.05470213149
2025-07-05,12065.405670202688
2025-07-06,12081.756638273888
2025-07-07,12084.398690957556
2025-07-08,12087.040743641224
2025-07-09,12089.682796324892
2025-07-10,12092.324849008563
2025-07-11,12094.96690169223
2025-07-12,12097.608954375899
2025-07-13,12100.251007059567
2025-07-14,12073.006734225299
2025-07-15,12045.76246139103
2025-07-16,12018.518188556762
2025-07-17,11991.273915722491
2025-07-18,11964.029642888223
2025-07-19,11936.785370053954
2025-07-20,11909.541097219686
2025-07-21,11829.029887064624
2025-07-22,11748.518676909562
2025-07-23,11668.0074667545
2025-07-24,11587.496256599437
2025-07-25,11506.985046444375
2025-07-26,11426.473836289313
2025-07-27,11345.962626134251
2025-07-28,11419.588460669445
2025-07-29,11493.21429520464
2025-07-30,11566.840129739834
2025-07-31,11640.465964275027
2025-08-01,11714.091798810221
2025-08-02,11787.717633345415
