date,predicted_modal_price
2025-01-06,17785.04
2025-01-07,17785.04
2025-01-08,17785.04
2025-01-09,17785.04
2025-01-10,17785.04
2025-01-11,17785.04
2025-01-12,17785.04
2025-01-13,17794.52
2025-01-14,17804.01
2025-01-15,17813.5
2025-01-16,17822.99
2025-01-17,17832.47
2025-01-18,17841.96
2025-01-19,17851.45
2025-01-20,17876.22
2025-01-21,17901.0
2025-01-22,17925.78
2025-01-23,17950.55
2025-01-24,17975.33
2025-01-25,18000.1
2025-01-26,18024.88
2025-01-27,18002.32
2025-01-28,17979.77
2025-01-29,17957.21
2025-01-30,17934.66
2025-01-31,17912.1
2025-02-01,17889.55
2025-02-02,17866.99
2025-02-03,17855.02
2025-02-04,17843.04
2025-02-05,17831.07
2025-02-06,17819.09
2025-02-07,17807.12
2025-02-08,17795.14
2025-02-09,17783.17
2025-02-10,17811.55
2025-02-11,17839.94
2025-02-12,17868.32
2025-02-13,17896.71
2025-02-14,17925.09
2025-02-15,17953.48
2025-02-16,17981.86
2025-02-17,17978.25
2025-02-18,17974.63
2025-02-19,17971.02
2025-02-20,17967.4
2025-02-21,17963.79
2025-02-22,17960.18
2025-02-23,17956.56
2025-02-24,17930.89
2025-02-25,17905.22
2025-02-26,17879.54
2025-02-27,17853.87
2025-02-28,17828.2
2025-03-01,17802.52
2025-03-02,17776.85
2025-03-03,17794.17
2025-03-04,17811.5
2025-03-05,17828.82
2025-03-06,17846.14
2025-03-07,17863.47
2025-03-08,17880.79
2025-03-09,17898.11
2025-03-10,17913.77
2025-03-11,17929.44
2025-03-12,17945.1
2025-03-13,17960.76
2025-03-14,17976.42
2025-03-15,17992.08
2025-03-16,18007.75
2025-03-17,17982.47
2025-03-18,17957.19
2025-03-19,17931.92
2025-03-20,17906.64
2025-03-21,17881.36
2025-03-22,17856.08
2025-03-23,17830.81
2025-03-24,17829.16
2025-03-25,17827.52
2025-03-26,17825.87
2025-03-27,17824.23
2025-03-28,17822.59
2025-03-29,17820.94
2025-03-30,17819.3
2025-03-31,17844.77
2025-04-01,17870.25
2025-04-02,17895.73
2025-04-03,17921.21
2025-04-04,17946.68
2025-04-05,17972.16
