date,forecast
2025-05-05,10569.028217714587
2025-05-06,10888.056435429175
2025-05-07,11207.084653143762
2025-05-08,11526.11287085835
2025-05-09,11845.141088572938
2025-05-10,12164.169306287526
2025-05-11,12483.197524002113
2025-05-12,12582.576573496099
2025-05-13,12681.955622990083
2025-05-14,12781.334672484069
2025-05-15,12880.713721978054
2025-05-16,12980.09277147204
2025-05-17,13079.471820966024
2025-05-18,13178.85087046001
2025-05-19,13091.827129473564
2025-05-20,13004.80338848712
2025-05-21,12917.779647500674
2025-05-22,12830.755906514229
2025-05-23,12743.732165527783
2025-05-24,12656.708424541339
2025-05-25,12569.684683554893
2025-05-26,12541.56593542161
2025-05-27,12513.447187288328
2025-05-28,12485.328439155044
2025-05-29,12457.209691021762
2025-05-30,12429.090942888479
2025-05-31,12400.972194755197
2025-06-01,12372.853446621913
2025-06-02,12396.582918245054
2025-06-03,12420.312389868195
2025-06-04,12444.041861491336
2025-06-05,12467.771333114477
2025-06-06,12491.500804737618
2025-06-07,12515.230276360759
2025-06-08,12538.9597479839
2025-06-09,12546.90813998478
2025-06-10,12554.85653198566
2025-06-11,12562.804923986541
2025-06-12,12570.753315987424
2025-06-13,12578.701707988304
2025-06-14,12586.650099989185
2025-06-15,12594.598491990066
2025-06-16,12588.130390514745
2025-06-17,12581.662289039423
2025-06-18,12575.194187564102
2025-06-19,12568.72608608878
2025-06-20,12562.25798461346
2025-06-21,12555.789883138137
2025-06-22,12549.321781662817
2025-06-23,12547.077042781379
2025-06-24,12544.832303899939
2025-06-25,12542.5875650185
2025-06-26,12540.342826137061
2025-06-27,12538.098087255623
2025-06-28,12535.853348374183
2025-06-29,12533.608609492745
2025-06-30,12535.370993730667
2025-07-01,12537.133377968587
2025-07-02,12538.895762206508
2025-07-03,12540.65814644443
2025-07-04,12542.420530682351
2025-07-05,12544.182914920271
2025-07-06,12545.945299158193
2025-07-07,12546.578694672502
2025-07-08,12547.212090186813
2025-07-09,12547.845485701122
2025-07-10,12548.478881215431
2025-07-11,12549.11227672974
2025-07-12,12549.745672244051
2025-07-13,12550.37906775836
2025-07-14,12549.899051691309
2025-07-15,12549.41903562426
2025-07-16,12548.939019557209
2025-07-17,12548.45900349016
2025-07-18,12547.978987423108
2025-07-19,12547.498971356059
2025-07-20,12547.018955289008
2025-07-21,12546.840378701703
2025-07-22,12546.661802114399
2025-07-23,12546.483225527094
2025-07-24,12546.304648939791
2025-07-25,12546.126072352487
2025-07-26,12545.947495765182
2025-07-27,12545.768919177877
2025-07-28,12545.899608021386
2025-07-29,12546.030296864894
2025-07-30,12546.160985708402
2025-07-31,12546.291674551912
2025-08-01,12546.42236339542
2025-08-02,12546.553052238929
